v_products_model	v_products_image	v_products_name_1	v_products_description_1	v_products_url_1	v_products_price	v_products_weight	v_date_avail	v_date_added	v_products_quantity	v_manufacturers_name	v_categories_name_1	v_categories_name_2	v_categories_name_3	v_categories_name_4	v_categories_name_5	v_categories_name_6	v_categories_name_7	v_tax_class_title	v_status	EOREOR
Test120-90-10-Skip	test_demo.jpg	TEST $120 Sale 10% Special off Skip	Product is $120  <br><br>  Special does not exist  <br><br>  Sale Price is 10% - Skip Products with Specials  <br><br>    Attributes:<br>  Color:<br>  - Red $100.00<br>  - Orange $50.00<br>  - Yellow $75  <br><br>    Size:<br>  Select from Below:<br>  Small $50.00<br>  Medium $75.00<br>  Large $100.00  <br><br>    Gift Options:<br>  - Dated Collector's Tin $50.00<br>  - Autographed Memorabila Card $75.00<br>  - Wrapping $100.00  <br><br>    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br><br>  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br><br>  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br><br>		120	1		2004-01-05 00:41:40	1000	Hewlett Packard	Sale Percentage	10% off Skip						Taxable Goods	0	EOREOR
Test120-90-10-Skip	test_demo.jpg	TEST $120 Sale 10% Special off Skip	Product is $120  <br><br>  Special does not exist  <br><br>  Sale Price is 10% - Skip Products with Specials  <br><br>    Attributes:<br>  Color:<br>  - Red $100.00<br>  - Orange $50.00<br>  - Yellow $75  <br><br>    Size:<br>  Select from Below:<br>  Small $50.00<br>  Medium $75.00<br>  Large $100.00  <br><br>    Gift Options:<br>  - Dated Collector's Tin $50.00<br>  - Autographed Memorabila Card $75.00<br>  - Wrapping $100.00  <br><br>    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br><br>  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br><br>  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br><br>		120	1		2004-01-05 00:41:40	1000		Sale Percentage	10% off Skip						Taxable Goods	1	EOREOR
Test120-90-10-Price	test_demo.jpg	TEST $120 Sale 10% Special - Apply to price	Product is $120  <br><br>  Special is 25% or $90  <br><br>  Sale Price is 10%  <br><br>    Attributes:<br>  Color:<br>  - Red $100.00<br>  - Orange $50.00<br>  - Yellow $75  <br><br>    Size:<br>  Select from Below:<br>  Small $50.00<br>  Medium $75.00<br>  Large $100.00  <br><br>    Gift Options:<br>  - Dated Collector's Tin $50.00<br>  - Autographed Memorabila Card $75.00<br>  - Wrapping $100.00  <br><br>    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br><br>  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br><br>  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br><br>		120	1		2004-01-07 11:26:34	1000	Hewlett Packard	Sale Percentage	10% off Price						Taxable Goods	0	EOREOR
Test120-90off-10-Price	test_demo.jpg	TEST $120 Sale 10% Special off - Apply to Price	Product is $120  <br><br>  Special does not exist  <br><br>  Sale Price is 10%  <br><br>    Attributes:<br>  Color:<br>  - Red $100.00<br>  - Orange $50.00<br>  - Yellow $75  <br><br>    Size:<br>  Select from Below:<br>  Small $50.00<br>  Medium $75.00<br>  Large $100.00  <br><br>    Gift Options:<br>  - Dated Collector's Tin $50.00<br>  - Autographed Memorabila Card $75.00<br>  - Wrapping $100.00  <br><br>    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br><br>  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br><br>  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br><br>		120	1		2004-01-07 11:28:16	1000	Hewlett Packard	Sale Percentage	10% off Price						Taxable Goods	0	EOREOR
Test120-90-10	test_demo.jpg	TEST $120 Sale 10% Special	Product is $120  <br><br>  Special is 25% or $90  <br><br>  Sale Price is 10%  <br><br>    Attributes:<br>  Color:<br>  - Red $100.00<br>  - Orange $50.00<br>  - Yellow $75  <br><br>    Size:<br>  Select from Below:<br>  Small $50.00<br>  Medium $75.00<br>  Large $100.00  <br><br>    Gift Options:<br>  - Dated Collector's Tin $50.00<br>  - Autographed Memorabila Card $75.00<br>  - Wrapping $100.00  <br><br>    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br><br>  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br><br>  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br><br>		120	1		2004-01-05 23:55:18	999	Hewlett Packard	Sale Percentage	10% off						Taxable Goods	0	EOREOR
Test120-90off-10	test_demo.jpg	TEST $120 Sale 10% Special off	Product is $120  <br><br>  Special does not exist  <br><br>  Sale Price is 10%  <br><br>    Attributes:<br>  Color:<br>  - Red $100.00<br>  - Orange $50.00<br>  - Yellow $75  <br><br>    Size:<br>  Select from Below:<br>  Small $50.00<br>  Medium $75.00<br>  Large $100.00  <br><br>    Gift Options:<br>  - Dated Collector's Tin $50.00<br>  - Autographed Memorabila Card $75.00<br>  - Wrapping $100.00  <br><br>    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br><br>  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br><br>  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br><br>		120	1		2004-01-05 23:58:54	1000		Sale Percentage	10% off						Taxable Goods	1	EOREOR
Test120-90off-10	test_demo.jpg	TEST $120 Sale 10% Special off	Product is Priced by Attributes.  <br><br>    Attribute Option Group: Color and Size are used for pricing by marking these as Included in Base Price.  <br><br>    Gift Options has everything marked included in base price also, but because None is set to $0.00 that groups lowest price is $0.00 so it is not affecting the Base Price.  <br><br>    If None was not part of this group and you did not want to include those prices, you would mark all of the Gift Option Attributes to NOT be included in the Base Price.  <br><br>    Product Product is $0.00  <br><br>    Special does not exist  <br><br>  Sale Price is 10%  <br><br>    Attributes:<br>  Color:<br>  - Red $100.00<br>  - Orange $50.00<br>  - Yellow $75  <br><br>    Size:<br>  Select from Below:<br>  Small $50.00<br>  Medium $75.00<br>  Large $100.00  <br><br>    Gift Options:<br>  - Dated Collector's Tin $50.00<br>  - Autographed Memorabila Card $75.00<br>  - Wrapping $100.00  <br><br>    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br><br>  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br><br>  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br><br>		0	1		2004-01-08 14:11:32	1000	Hewlett Packard	Sale Percentage	10% off						Taxable Goods	0	EOREOR
Test120-New100	test_demo.jpg	TEST $120 Special off Sale New Price $100	Product is $120  <br><br>  Special does not exist  <br><br>  Sale Price is New Price $100  <br><br>    Attributes:<br>  Color:<br>  - Red $100.00<br>  - Orange $50.00<br>  - Yellow $75  <br><br>    Size:<br>  Select from Below:<br>  Small $50.00<br>  Medium $75.00<br>  Large $100.00  <br><br>    Gift Options:<br>  - Dated Collector's Tin $50.00<br>  - Autographed Memorabila Card $75.00<br>  - Wrapping $100.00  <br><br>    Attributes are not affected by the Sale Discount Price when a New Price is used.  <br><br>    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br><br>  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br><br>  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br><br>		120	1		2004-01-06 00:02:32	1000	Hewlett Packard	Sale New Price	Set $100						Taxable Goods	0	EOREOR
Test120-25-New100	test_demo.jpg	TEST $120 Special 25% Sale New Price $100	Product is $120  <br><br>  Special 25% or $90  <br><br>  Sale Price is New Price $100  <br><br>    Attributes:<br>  Color:<br>  - Red $100.00<br>  - Orange $50.00<br>  - Yellow $75  <br><br>    Size:<br>  Select from Below:<br>  Small $50.00<br>  Medium $75.00<br>  Large $100.00  <br><br>    Gift Options:<br>  - Dated Collector's Tin $50.00<br>  - Autographed Memorabila Card $75.00<br>  - Wrapping $100.00  <br><br>    Attributes are not affected by the Sale Discount Price when a New Price is used.  <br><br>    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br><br>  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br><br>  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br><br>		120	1		2004-01-06 00:04:31	1000	Hewlett Packard	Sale New Price	Set $100						Taxable Goods	0	EOREOR
Test120-90off-10	test_demo.jpg	TEST $120 Sale 10% Special off	Product is Priced by Attributes.  <br><br>    Attribute Option Group: Color and Size are used for pricing by marking these as Included in Base Price.  <br><br>    Gift Options has everything marked included in base price also, but because None is set to $0.00 that groups lowest price is $0.00 so it is not affecting the Base Price.  <br><br>    If None was not part of this group and you did not want to include those prices, you would mark all of the Gift Option Attributes to NOT be included in the Base Price.  <br><br>    Product Product is $0.00  <br><br>    Special does not exist  <br><br>  Sale Price is 10%  <br><br>    Attributes:<br>  Color:<br>  - Red $100.00<br>  - Orange $50.00<br>  - Yellow $75  <br><br>    Size:<br>  Select from Below:<br>  Small $50.00<br>  Medium $75.00<br>  Large $100.00  <br><br>    Gift Options:<br>  - Dated Collector's Tin $50.00<br>  - Autographed Memorabila Card $75.00<br>  - Wrapping $100.00  <br><br>    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br><br>  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br><br>  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br><br>		0	1		2004-01-08 14:11:32	1000	Hewlett Packard	Sale Percentage	10% off Attrib						Taxable Goods	0	EOREOR
Test120-25-New100-Skip	test_demo.jpg	TEST $120 Special 25% Sale New Price $100 Skip Specials	Product is $120  <br><br>  Special 25% or $90  <br><br>  Sale Price is New Price $100  <br><br>    Attributes:<br>  Color:<br>  - Red $100.00<br>  - Orange $50.00<br>  - Yellow $75  <br><br>    Size:<br>  Select from Below:<br>  Small $50.00<br>  Medium $75.00<br>  Large $100.00  <br><br>    Gift Options:<br>  - Dated Collector's Tin $50.00<br>  - Autographed Memorabila Card $75.00<br>  - Wrapping $100.00  <br><br>    Attributes are not affected by the Sale Discount Price when a New Price is used.  <br><br>    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br><br>  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br><br>  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br><br>		120	1		2004-01-07 02:35:44	1000	Hewlett Packard	Sale New Price	Set $100 Skip						Taxable Goods	0	EOREOR
Test120-New100-Off-Skip	test_demo.jpg	TEST $120 Special off Sale New Price $100 Skip Specials	Product is $120  <br><br>  Special does not exist  <br><br>  Sale Price is New Price $100  <br><br>    Attributes:<br>  Color:<br>  - Red $100.00<br>  - Orange $50.00<br>  - Yellow $75  <br><br>    Size:<br>  Select from Below:<br>  Small $50.00<br>  Medium $75.00<br>  Large $100.00  <br><br>    Gift Options:<br>  - Dated Collector's Tin $50.00<br>  - Autographed Memorabila Card $75.00<br>  - Wrapping $100.00  <br><br>    Attributes are not affected by the Sale Discount Price when a New Price is used.  <br><br>    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br><br>  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br><br>  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br><br>		120	1		2004-01-07 02:36:52	1000	Hewlett Packard	Sale New Price	Set $100 Skip						Taxable Goods	0	EOREOR
Test120-5SKIP	test_demo.jpg	TEST $120 Sale -$5.00 Skip	Product is $120  <br><br>  Sale is -$5.00  <br><br>  Specials are skipped  <br><br>    Attributes:<br>  Color:<br>  - Red $100.00<br>  - Orange $50.00<br>  - Yellow $75  <br><br>    Size:<br>  Select from Below:<br>  Small $50.00<br>  Medium $75.00<br>  Large $100.00  <br><br>    Gift Options:<br>  - Dated Collector's Tin $50.00<br>  - Autographed Memorabila Card $75.00<br>  - Wrapping $100.00  <br><br>    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br><br>  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br><br>  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br><br>		120	1		2004-01-24 16:09:52	1000	Hewlett Packard	Sale Deduction	$5.00 off Skip						Taxable Goods	0	EOREOR
Test120-90-5SKIP	test_demo.jpg	TEST $120 Special $90.00 Sale -$5.00 Skip	Product is $120  <br><br>    Special $90.00 or 25% - Specials are Skipped  <br><br>    Sale is -$5.00  <br><br>      Attributes:<br>  Color:<br>  - Red $100.00<br>  - Orange $50.00<br>  - Yellow $75  <br><br>    Size:<br>  Select from Below:<br>  Small $50.00<br>  Medium $75.00<br>  Large $100.00  <br><br>    Gift Options:<br>  - Dated Collector's Tin $50.00<br>  - Autographed Memorabila Card $75.00<br>  - Wrapping $100.00  <br><br>    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br><br>  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br><br>  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br><br>		120	1		2004-01-24 16:10:12	1000	Hewlett Packard	Sale Deduction	$5.00 off Skip						Taxable Goods	0	EOREOR
TEST1	no_image_product.gif	Test One	This is a test product to fill this category with more 12 randomly entered products to envoke the split page results on products that are not linked, have no specials, sales, etc.		25	1		2004-04-26 02:26:23	999	Hewlett Packard	Big Unlinked							Taxable Goods	0	EOREOR
TEST2	no_image_product.gif	Test Two	This is a test product to fill this category with more 12 randomly entered products to envoke the split page results on products that are not linked, have no specials, sales, etc.		25	1		2004-04-26 02:24:57	998	Hewlett Packard	Big Unlinked							Taxable Goods	0	EOREOR
TEST3	no_image_product.gif	<strong>Test<br /> Three</strong>	This is a test product to fill this category with more 12 randomly entered products to envoke the split page results on products that are not linked, have no specials, sales, etc.		25	1		2004-04-26 02:27:24	995	Hewlett Packard	Big Unlinked							Taxable Goods	0	EOREOR
Test2		Test Two	This is a test product to fill this category with more 12 randomly entered products to envoke the split page results on products that are not linked, have no specials, sales, etc.		25	1		2004-04-26 02:24:57	998		Big Unlinked							Taxable Goods	1	EOREOR
Test4	no_image_product.gif	Test Four	This is a test product to fill this category with more 12 randomly entered products to envoke the split page results on products that are not linked, have no specials, sales, etc.		25	1		2004-04-26 02:25:03	994	Hewlett Packard	Big Unlinked							Taxable Goods	0	EOREOR
Test5	no_image_product.gif	Test Five	This is a test product to fill this category with more 12 randomly entered products to envoke the split page results on products that are not linked, have no specials, sales, etc.		25	1		2004-04-26 02:25:53	998	Hewlett Packard	Big Unlinked							Taxable Goods	0	EOREOR
Test1		Test One	This is a test product to fill this category with more 12 randomly entered products to envoke the split page results on products that are not linked, have no specials, sales, etc.		25	1		2004-04-26 02:26:23	999		Big Unlinked							Taxable Goods	1	EOREOR
Test8	no_image_product.gif	Test Eight	This is a test product to fill this category with more 12 randomly entered products to envoke the split page results on products that are not linked, have no specials, sales, etc.		25	1		2004-04-26 02:26:54	997	Hewlett Packard	Big Unlinked							Taxable Goods	0	EOREOR
Test3		<strong>Test<br /> Three</strong>	This is a test product to fill this category with more 12 randomly entered products to envoke the split page results on products that are not linked, have no specials, sales, etc.		25	1		2004-04-26 02:27:24	995		Big Unlinked							Taxable Goods	1	EOREOR
Test10	no_image_product.gif	Test Ten	This is a test product to fill this category with more 12 randomly entered products to envoke the split page results on products that are not linked, have no specials, sales, etc.		25	1		2004-04-26 02:27:52	999	Hewlett Packard	Big Unlinked							Taxable Goods	0	EOREOR
Test6	no_image_product.gif	Test Six	This is a test product to fill this category with more 12 randomly entered products to envoke the split page results on products that are not linked, have no specials, sales, etc.		25	1		2004-04-26 02:28:22	1000	Hewlett Packard	Big Unlinked							Taxable Goods	0	EOREOR
Test7	no_image_product.gif	Test Seven	This is a test product to fill this category with more 12 randomly entered products to envoke the split page results on products that are not linked, have no specials, sales, etc.		25	1		2004-04-26 02:29:03	1000	Hewlett Packard	Big Unlinked							Taxable Goods	0	EOREOR
Test12	no_image_product.gif	Test Twelve	This is a test product to fill this category with more 12 randomly entered products to envoke the split page results on products that are not linked, have no specials, sales, etc.		25	1		2004-04-26 02:29:36	999	Hewlett Packard	Big Unlinked							Taxable Goods	0	EOREOR
Test9	no_image_product.gif	Test Nine	This is a test product to fill this category with more 12 randomly entered products to envoke the split page results on products that are not linked, have no specials, sales, etc.		25	1		2004-04-26 02:30:12	998	Hewlett Packard	Big Unlinked							Taxable Goods	0	EOREOR
Test11	no_image_product.gif	Test Eleven	This is a test product to fill this category with more 12 randomly entered products to envoke the split page results on products that are not linked, have no specials, sales, etc.		25	1		2004-04-26 02:30:41	999	Hewlett Packard	Big Unlinked							Taxable Goods	0	EOREOR
Normal	1_small.jpg	Qty Discounts by 1 Special	<p>This is a normal product priced at $60 with a special of $50</p><p>There are quantity discounts setup which will be discounted from the Products Price.</p><p>Discounts are added on the Products Price Manager.</p><p>The Discounts are offered in increments of 1.</p><p>Note: Attributes do not inherit the Discount Qty discounts.</p><p>Attributes will inherit Discounts from Specials or sales. This can be customized per attribute by marking the Attribute to Include Product Price Special or Sale Discounts.</p><p>Red is $100.00 and marked to include the Price to Special discount but will not inherit the Discount Qty discount.</p><p>Green is $100 and marked not to include the Price to Special discount and will not inherit the Discount Qty discount.</p>		60	2		2004-10-05 16:54:52	1000	Hewlett Packard	New v1.2	Discount Qty						Taxable Goods	0	EOREOR
Special	2_small.jpg	Special Product by the dozen	<p>This is a Special product priced at $100 with a $75 Special</p><p>There are quantity discounts setup which will be discounted from the Special Price discounted by the dozen.</p><p>Discounts are added on the Products Price Manager.</p>		100	2		2004-10-05 16:47:45	1000	Hewlett Packard	New v1.2	Discount Qty						Taxable Goods	0	EOREOR
Normal	1_small.jpg	Qty Discounts by 1	<p>This is a normal product priced at $60</p><p>There are quantity discounts setup which will be discounted from the Products Price.</p><p>Discounts are added on the Products Price Manager.</p><p>The Discounts are offered in increments of 1.</p><p>Note: Attributes do not inherit the Discount Qty discounts.</p><p>Attributes will inherit Discounts from Specials or sales. This can be customized per attribute by marking the Attribute to Include Product Price Special or Sale Discounts.</p><p>Red is $100.00 and marked to include the Price to Special discount but will not inherit the Discount Qty discount.</p><p>Green is $100 and marked not to include the Price to Special discount and will not inherit the Discount Qty discount.</p>		60	2		2004-09-27 23:32:52	1000		New v1.2	Discount Qty						Taxable Goods	1	EOREOR
Normal	small_00.jpg	Normal Product by the dozen	<p>This is a normal product priced at $100</p><p>There are quantity discounts setup which will be discounted from the Products Price by the dozen.</p><p>Discounts are added on the Products Price Manager.</p>		100	2		2004-10-05 16:45:25	1000		New v1.2	Discount Qty						Taxable Goods	1	EOREOR
Special	2_small.jpg	Special Product by the dozen	<p>This is a Special product priced at $100 with a $75 Special</p><p>There are quantity discounts setup which will be discounted from the Special Price discounted by the dozen.</p><p>Discounts are added on the Products Price Manager.</p>		100	2		2004-10-05 16:47:45	1000		New v1.2	Discount Qty						Taxable Goods	1	EOREOR
Normal	1_small.jpg	Qty Discounts by 1 Special	<p>This is a normal product priced at $60 with a special of $50</p><p>There are quantity discounts setup which will be discounted from the Products Price.</p><p>Discounts are added on the Products Price Manager.</p><p>The Discounts are offered in increments of 1.</p><p>Note: Attributes do not inherit the Discount Qty discounts.</p><p>Attributes will inherit Discounts from Specials or sales. This can be customized per attribute by marking the Attribute to Include Product Price Special or Sale Discounts.</p><p>Red is $100.00 and marked to include the Price to Special discount but will not inherit the Discount Qty discount.</p><p>Green is $100 and marked not to include the Price to Special discount and will not inherit the Discount Qty discount.</p>		60	2		2004-10-05 16:54:52	1000		New v1.2	Discount Qty						Taxable Goods	1	EOREOR
PRICEFACTOR	sample_image.gif	Price Factor	<p>This product is priced at $10.00</p><p>The attributes are priced using the Price Factor</p><p>Red is $10<br />Yellow is $20<br />Green is $30</p><p>This makes the total price $10 + the price factor of the attribute.</p>		10	1		2004-05-17 23:03:10	1000	Hewlett Packard	New v1.2	Attributes						Taxable Goods	0	EOREOR
PRICEFACTOROFF	sample_image.gif	Price Factor Offset	<p>This product is priced at $10.00</p><p>The attributes are priced using the Price Factor and Price Factor Offset</p><p>Red is $10 ($0)<br />Yellow is $20 ($10)<br />Green is $30 ($20)</p><p>The Price Factor Offset is set to 1 to take out the price of the Product Price then make the total price $10 + the price factor * $10 - price factor offset * $10 for the attributes.</p>		10	1		2004-05-17 23:05:24	1000	Hewlett Packard	New v1.2	Attributes						Taxable Goods	0	EOREOR
PRICEFACTOROFFATTR	sample_image.gif	Price Factor Offset by Attribute	<p>This product is priced at $10.00</p><p>It is marked Price by Attributes.</p><p>The attributes are priced using the Price Factor and Price Factor Offset. </p><p>The actual Product Price is used just to compute the Price Factor.</p><p>Red is $10 ($0)<br />Yellow is $20 ($10)<br />Green is $30 ($20)</p><p>The Price Factor Offset is set to 1 to take out the price of the Product Price then make the total price the price factor * $10 - price factor offset * $10 for the attributes.</p>		10	1		2004-05-17 23:10:18	1000	Hewlett Packard	New v1.2	Attributes						Taxable Goods	0	EOREOR
ONETIME	b_b_grid.gif	One Time Charge	<p>This product is $45 with a one time charge set on the colors.</p><p>Red $5<br />Yellow is $10<br />Green is $15</p><p />		45	1		2004-05-17 23:22:08	1000	Hewlett Packard	New v1.2	Attributes						Taxable Goods	0	EOREOR
ATTQTYPRICE	b_c_grid.gif	Attribute Quantity Discount	<p>Attribute qty discounts are attribute prices based on qty ordered.</p><p>Enter them as: </p><p>Red:<br />3:10.00,6:9.00,9:8.00,12:7.00,15:6.00</p><p>Yellow<br />3:10.50,6:9.50,9:8.50,12:7.50,15:6.50</p><p>Green:<br />3:11.00,6:10.00,9:9.00,12:8.00,15:7.00</p><p>A table will also show on the page to display these discounts as well as an indicator that qty discounts are available.</p>		25	1		2004-05-17 23:29:31	10000	Hewlett Packard	New v1.2	Attributes						Taxable Goods	0	EOREOR
PERWORDREQ	no_image_product.gif	Per word - required	<p>Product is priced by attribute</p><p>The Option Name Line 1 is setup as Text</p><p>The attribute is added to the product as Required</p><p>The pricing is $0.05 per word</p><p>The Option Name Line2 is setup as Text</p><p>The attribute is added to the product as Required</p><p>The pricing is $0.05 per word with 3 words Free</p><p>The Colors are set up as radio buttons and Red is the Default.</p>		0	1		2004-05-01 01:31:28	1000	Hewlett Packard	New v1.2	Text Pricing						Taxable Goods	0	EOREOR
PERLETTERREQ	no_image_product.gif	Per letter - required	<p>Product is priced by attribute</p><p>The Option Name Line 1 is setup as Text</p><p>The attribute is added to the product as Required</p><p>The pricing is $0.02 per letter</p><p>The Option Name Line2 is setup as Text</p><p>The attribute is added to the product as Required</p><p>The pricing is $0.02 per letter with 3 letters free</p><p>The Colors are set up as radio buttons and Red is the Default.</p>		0	1		2004-05-07 21:23:58	1000	Hewlett Packard	New v1.2	Text Pricing						Taxable Goods	0	EOREOR
GolfClub	9_small.jpg	Golf Clubs	<p>Products Price is set to 0 and Products Weight is set to 1</p><p>This is marked Price by Attributes</p><p>This is priced by attribute at 14.45 per club with an added weight of 1 on the attributes.</p><p>This will make the shipping weight 1lb for the product plus 1lb for each attribute (club) added.</p><p>The attributes are sorted so the clubs read in order on the Product Info, Shopping Cart, Order, Email and Account History.</p>		0	1		2004-05-18 10:14:35	997	Hewlett Packard	New v1.2	Real Sale						Taxable Goods	0	EOREOR
ROPE	9_small.jpg	Rope	<p>Rope is sold by foot or yard with a minimum length of 10 feet or 10 yards</p><p>Product Price of $1.00<br />Product Weight of 0</p><p>Option Values:<br />per foot $0.00 weight .25<br />per yard $1.50 weight .75</p><p />		1	0		2004-05-18 10:42:50	10000	Hewlett Packard	New v1.2	Real Sale						Taxable Goods	0	EOREOR
DOWNLOAD2	2_small.jpg	Multiple Downloads	<p>This product is set up to have multiple downloads.</p><p>The Product Price is $49.99</p><p>The attributes are setup with two Option Names, one for each download to allow for two downloads at the same time.</p><p>The first Download is listed under:</p><p>Option Name: Version<br />Option Value: Download Windows - English<br />Option Value: Download Windows - Spanish<br />Option Value: DownloadMAC - English<br /></p><p>The second Download is listed under:</p><p>Option Name: Documentation<br />Option Value: PDF - English<br />Option Value:MS Word- English</p><p />		49.99	0		2004-05-02 23:51:33	1000	Hewlett Packard	New v1.2	Downloads						Taxable Goods	0	EOREOR
DOWNLOAD1	1_small.jpg	Single Download	<p>This product is set up to have a single download.</p><p>The Product Price is $39.99</p><p>The attributes are setup with 1 Option Name, for the download to allow for one download but of various types.</p><p>The Download is listed under:</p><p>Option Name: Documentation<br />Option Value: PDF - English<br />Option Value: MS Word - English</p>		39	0		2004-10-06 00:08:33	1000	Hewlett Packard	New v1.2	Downloads						Taxable Goods	0	EOREOR
GolfClub	9_small.jpg	Golf Clubs	<p>Products Price is set to 0 and Products Weight is set to 1</p><p>This is marked Price by Attributes</p><p>This is priced by attribute at 14.45 per club with an added weight of 1 on the attributes.</p><p>This will make the shipping weight 1lb for the product plus 1lb for each attribute (club) added.</p><p>The attributes are sorted so the clubs read in order on the Product Info, Shopping Cart, Order, Email and Account History.</p>		0	1		2004-05-18 10:14:35	997	Hewlett Packard	New v1.2	Real						Taxable Goods	0	EOREOR
ROPE	9_small.jpg	Rope	<p>Rope is sold by foot or yard with a minimum length of 10 feet or 10 yards</p><p>Product Price of $1.00<br />Product Weight of 0</p><p>Option Values:<br />per foot $0.00 weight .25<br />per yard $1.50 weight .75</p><p />		1	0		2004-05-18 10:42:50	10000	Hewlett Packard	New v1.2	Real						Taxable Goods	0	EOREOR
GolfClub	9_small.jpg	Golf Clubs	<p>Products Price is set to 0 and Products Weight is set to 1</p><p>This is marked Price by Attributes</p><p>This is priced by attribute at 14.45 per club with an added weight of 1 on the attributes.</p><p>This will make the shipping weight 1lb for the product plus 1lb for each attribute (club) added.</p><p>The attributes are sorted so the clubs read in order on the Product Info, Shopping Cart, Order, Email and Account History.</p>		0	1		2004-05-18 10:14:35	997		New v1.2	Real						Taxable Goods	1	EOREOR
ROPE	9_small.jpg	Rope	<p>Rope is sold by foot or yard with a minimum length of 10 feet or 10 yards</p><p>Product Price of $1.00<br />Product Weight of 0</p><p>Option Values:<br />per foot $0.00 weight .25<br />per yard $1.50 weight .75</p><p />		1	0		2004-05-18 10:42:50	10000		New v1.2	Real						Taxable Goods	1	EOREOR
